category,item_key,item_name,description,timeline,base_value,low_case,high_case,unit,drivers,source_type,source_detail,ui_group,ui_control,ui_min,ui_max,ui_step,ui_order,ui_is_advanced,ui_is_editable
Model,model_horizon,Model horizon,Overall projection horizon,2025-10 to 2029-12,48 months,,,months,"Covers pre-opening, construction, ramp-up and 3 years of operations",Design assumption,Standard 3–5 year proforma horizon,Macro & Risk,number_input,,,,6,1,0
Model,granularity,Model granularity,Base time step for projections,All years,Monthly,,,period,Supports detailed P&L and cash modeling; weekly for 13-week cash view,Design assumption,Monthly with supplemental weekly cash for near-term,Macro & Risk,number_input,,,,7,1,0
Model,reporting_views,Reporting views,Available reporting granularities,All years,Monthly/Quarterly/Annual,,,,"Roll-ups for board, lenders, internal use",Design assumption,Common practice to provide M/Q/Y views,Macro & Risk,number_input,,,,8,1,0
Timeline,construction_start,Construction start date,Month construction begins,One-time,2026-01-01,,,date,"Depends on permits, financing close, contractor schedule",Estimate,Client plan to start around Jan 2026,Timeline,number_input,,,,1,1,0
Timeline,construction_duration_months,Construction duration,Months from start to substantial completion,Construction,9,8.0,12.0,months,Determines timing of capex draw and opening,Estimate,Client estimate; aligned with typical small commercial build-outs,Timeline,number_input,,,,2,1,0
Timeline,soft_open_month,Soft opening month,First partial operations,One-time,2026-09,,,date,Assumes soft opening near end of construction,Estimate,Set ~month 9 of construction,Timeline,number_input,,,,3,1,0
Timeline,grand_open_month,Grand opening month,Full operations and marketing push begin,One-time,2026-10,,,date,"Depends on completion, inspections, stocking",Estimate,Set 1 month after soft opening,Timeline,number_input,,,,4,1,0
Timeline,lease_base_term,Lease base term,Initial lease commitment horizon,As per lease,3 years+,,,years,Impacts rent obligations and renewal timing,Known fact,From signed lease; base period through mid-2028,Timeline,number_input,,,,5,1,0
Lease,base_rent_monthly_1,Base rent (initial),Monthly base rent through mid-2028,2025-10 to 2028-06,16335,,,USD/month,Fixed by lease contract,Known fact,"$16,335/month starting Oct 2025",Financing,number_input,,,,6,1,0
Lease,base_rent_monthly_2,Base rent (renewal),Monthly base rent after renewal increase,2028-07 onward,17900,,,USD/month,Lease step-up clause,Known fact,"$17,900/month from renewal as per lease",Financing,number_input,,,,7,1,0
Lease,nnn_share_pct,Share of property tax & building insurance,Tenant share of NNN charges,All years,0.25,,,fraction,Determines share of building-level taxes and insurance,Known fact,Client responsible for ~25% of building’s tax & insurance,Financing,slider,,,,8,1,0
Lease,nnn_cost_pct_sales,NNN cost as % of sales,Modeled occupancy pass-through (NNN) as % of net sales,Operating years,0.0075,0.005,0.01,fraction,Back-calculated so total occupancy (rent+NNN) ? 2–4% of sales,Industry standard,Typical grocery occupancy cost ratios,Financing,slider,,,,9,1,0
Lease,store_insurance_preop,Store insurance (pre-operating),Annual store-level insurance before opening,Pre-opening,4000,,,USD/year,"Covers liability, basic coverage while non-operating",Known fact,Client has ~$4k annual insurance until fully operational,Financing,number_input,,,,10,1,0
Lease,store_insurance_operating,Store insurance (operating),Annual store-level insurance once store operates,Operating years,10000,8000.0,12000.0,USD/year,"Higher coverage for full operations, inventory, customers",Estimate,Initial placeholder until quotes obtained,Financing,number_input,,,,11,1,0
Lease,utilities_preopen,Utilities during pre-opening,Average monthly utilities during construction / pre-open,Pre-opening,1500,1000.0,2000.0,USD/month,Light usage before refrigeration fully running,Estimate,Based on typical small commercial spaces,Financing,number_input,,,,12,1,0
Lease,utilities_operating_sqft,Operating utilities per sq ft,Monthly utilities cost per square foot in operation,Operating years,0.70,0.6,0.8,USD/sqft/month,Drives total utilities once store size known,Estimate,Typical for refrigerated supermarkets,Financing,slider,,,,13,1,0
Capex,construction_hard_cost_total,Hard construction cost,Total expected cost for construction build-out,Construction,1700000,1500000.0,2000000.0,USD,Primary build-out budget,Client estimate,Client assumption of ~$1.7M,Financing,number_input,,,,14,1,0
Capex,construction_contingency_pct,Construction contingency,Contingency % applied to hard costs,Construction,0.12,0.1,0.15,fraction,"Covers overruns, change orders, inflation",Industry standard,10–15% contingency typical for small CRE projects,Financing,slider,,,,15,1,0
Capex,soft_cost_pct_of_hard,Soft costs % of hard costs,"Design, permits, professional and other soft costs",Construction,0.125,0.1,0.2,fraction,Applied to construction_hard_cost_total,Estimate,Within typical 10–20% soft-cost range,Financing,slider,,,,16,1,0
Capex,ffe_budget,"Fixtures, furnishings & equipment (FF&E)","Refrigeration, shelving, POS, IT, carts, etc.",Construction,600000,500000.0,700000.0,USD,Required to open fully equipped supermarket,Estimate,Benchmark for similar-size supermarkets,Financing,number_input,,,,17,1,0
Capex,preopening_marketing_total,Pre-opening marketing budget,Total planned marketing spend before and at opening,Pre-opening,32000,25000.0,45000.0,USD,Includes known $18k plus additional campaigns,Mixed,$18k known commitments + additional estimated budget,Financing,number_input,,,,18,1,0
Capex,preopening_working_capital,Pre-opening working capital reserve,Cash needed before operating cash flow turns positive,Pre-opening,variable,,,USD,"Covers inventory, initial payroll, rent, interest, other overhead",Model output,Calculated from other assumptions and ramp profile,Financing,number_input,,,,19,1,0
Capex,capitalization_policy,Capitalize vs expense pre-opening costs,Policy for which pre-opening costs are capitalized,Construction & pre-opening,Capex construction & major soft; expense routine opex,,,,Impacts depreciation and taxable income,Policy assumption,To be finalized with CPA based on GAAP/tax rules,Financing,number_input,,,,20,1,0
Financing,construction_loan_commitment,Construction loan commitment,Maximum principal available for construction financing,Construction,1850000,1700000.0,2000000.0,USD,Covers hard costs plus some soft costs,Estimate,Target 70–80% loan-to-cost,Financing,number_input,1000000,3000000,50000,1,0,1
Financing,construction_loan_ltc,Construction loan-to-cost (LTC),Construction loan as % of total project cost,Construction,0.75,0.7,0.8,fraction,Determines max loan size relative to project cost,Lending standard,Typical LTC range for small CRE construction,Financing,slider,,,,21,1,0
Financing,construction_rate_annual,Construction loan interest rate,Annual interest rate during construction / I/O period,Construction + ramp,0.08,0.07,0.1,fraction,"Applied to drawn balance, interest-only",Lending standard,Within recent 7–10% range for small business construction loans,Financing,slider,0.05,0.12,0.0025,2,0,1
Financing,construction_io_months,Construction interest-only period,Months with interest-only payments,Construction + early operations,18,12.0,24.0,months,Covers full build plus early ramp-up,Estimate,Aligned with 9-month build + 3–9 months ramp,Financing,number_input,,,,22,1,0
Financing,permanent_loan_rate,Permanent loan interest rate,Rate on post-construction term loan,Post-stabilization,0.075,0.07,0.09,fraction,"Depends on market, DSCR, collateral",Estimate,Conservative fixed rate for small CRE term loan,Financing,slider,0.05,0.1,0.0025,3,0,1
Financing,permanent_loan_amort_years,Permanent loan amortization,Amortization period for take-out loan,Post-stabilization,15,10.0,20.0,years,Impacts annual debt service and DSCR,Lending standard,Common term for small CRE loans,Financing,number_input,,,,23,1,0
Financing,permanent_loan_ltv,Permanent loan LTV,Loan-to-value at take-out financing,Post-stabilization,0.70,0.65,0.75,fraction,Limited by DSCR and lender policy,Lending standard,Typical stabilized LTV for bank loans,Financing,slider,,,,24,1,0
Financing,bridge_loan_total,Shareholder / bridge facility size,Total available shareholder/bridge capital,Pre-opening & early ops,200000,100000.0,200000.0,USD,Existing $100k loan plus optional additional $100k,Known fact,Client: $100k drawn + $100k available option,Financing,number_input,,,,25,1,0
Financing,bridge_loan_rate,Bridge loan interest rate,Rate on shareholder/bridge debt,All years until repaid,0.11,0.1,0.12,fraction,"Compensates risk of unsecured, subordinated funding",Estimate,Typical 10–12% for shareholder loans,Financing,slider,0.06,0.18,0.005,4,1,1
Financing,bridge_loan_maturity_years,Bridge loan maturity,Tenor until bullet repayment or conversion,All years,4,3.0,5.0,years,Sets timeline for exit or conversion to equity,Policy assumption,To be negotiated with investor/lender,Financing,number_input,,,,26,1,0
Financing,buy_price_total,Business purchase price (Buy scenario),Total consideration to acquire existing business,Buy scenario,900000,,,USD,Includes cash at closing and seller note,Known fact,Seller asking price: $900k,Financing,number_input,,,,27,1,0
Financing,buy_cash_down,Business purchase cash down,Cash required at signing,Buy scenario,300000,,,USD,Initial equity outlay or funded via financing,Known fact,$300k due at signing,Financing,number_input,,,,28,1,0
Financing,buy_seller_note,Seller note principal,Portion of price financed by seller,Buy scenario,600000,,,USD,Paid over 24 months with interest,Known fact,Balance of price payable over 2 years,Financing,number_input,,,,29,1,0
Financing,seller_note_rate,Seller note interest rate,Annual rate on seller financing,Buy scenario,0.07,0.06,0.08,fraction,Fair compensation for seller over 24 months,Estimate,Typical 6–8% for SMB seller notes,Financing,slider,,,,30,1,0
Financing,seller_note_term_months,Seller note term,Amortization period for seller financing,Buy scenario,24,,,months,Defines monthly payment burden,Known fact,Term specified as 24 months,Financing,number_input,,,,31,1,0
Market,market_households,Local households / families,Families in practical catchment area,All years,550,500.0,800.0,count,Base for penetration and customer count,Estimate,Client indication of 500+ families; refined with research later,Revenue & Demand,number_input,200,2000,50,1,0,1
Market,household_penetration_y1,Penetration Year 1,% of local households shopping primarily here in Year 1,Year 1,0.35,0.3,0.4,fraction,Depends on competition and opening strategy,Estimate,Aggressive but realistic ramp for strong local concept,Revenue & Demand,slider,0.1,0.7,0.01,2,0,1
Market,household_penetration_y2,Penetration Year 2,% of households in Year 2,Year 2,0.45,0.4,0.5,fraction,Continued adoption and marketing,Estimate,Builds on Year 1 brand trust,Revenue & Demand,slider,0.1,0.8,0.01,3,1,1
Market,household_penetration_y3,Penetration Year 3,% of households in Year 3 and beyond,Year 3+,0.55,0.5,0.6,fraction,Represents mature share of local market,Estimate,Target share once store is established,Revenue & Demand,slider,0.1,0.9,0.01,4,1,1
Market,visits_per_household_week,Shopping frequency per household,Average visits per household per week,Operating years,1.2,1.0,1.5,visits/week,Drives transaction count,Industry standard,Typical grocery visit frequency,Revenue & Demand,slider,0.5,3.0,0.1,5,0,1
Market,avg_basket_size_y1,Average basket size Year 1,Average spend per visit in Year 1,Year 1,90,80.0,100.0,USD/visit,"Linked to income, positioning, specialty mix",Estimate,Consistent with mid- to high-end supermarket baskets,Revenue & Demand,number_input,40,200,5,6,0,1
Market,avg_basket_growth_real,Real basket growth rate,Annual real growth in basket size (excl. inflation),Years 2+,0.025,0.02,0.03,fraction,"Trading up, mix improvements",Estimate,Modest real growth assumption,Revenue & Demand,slider,,,,7,1,0
Market,annual_sales_target,Target annual sales,Management long-term revenue goal,Stabilized years,10000000,,,USD/year,Used to calibrate ramp and growth assumptions,Client goal,Client target of $10M/year sales,Revenue & Demand,number_input,,,,8,1,0
Revenue,revenue_growth_post_stab,Post-stabilization revenue growth,Nominal annual sales growth after stabilization,Stabilized years,0.045,0.04,0.05,fraction,Combination of real growth plus inflation,Estimate,2–3% real + ~2% inflation,Margins & COGS,slider,,,,4,1,0
Revenue,seasonality_index,Seasonality index pattern,Relative index of monthly sales vs annual average,Each year,[0.95–1.20],,,index,Reflects holiday peaks and slower months,Estimate,Initial pattern; refine with history from bought business,Margins & COGS,number_input,,,,5,1,0
Revenue,gross_margin_target,Gross margin target,Gross profit as % of net sales,Operating years,0.33,0.3,0.35,fraction,"Depends on merchandising, pricing and vendor terms",Client target,Client assumption of ~33% GM; within specialty range,Margins & COGS,slider,0.25,0.4,0.005,1,0,1
Revenue,shrink_pct_sales,Shrink and spoilage,Shrinkage as % of sales,Operating years,0.025,0.02,0.03,fraction,Impacts effective COGS and profitability,Industry standard,Typical grocery shrink 2–3% of sales,Margins & COGS,slider,0.0,0.05,0.0025,2,0,1
Revenue,vendor_rebates_pct_sales,Vendor rebates / allowances,Rebates and trade spend as % of sales,Operating years,0.01,0.005,0.015,fraction,"Reduces effective COGS, improves margin",Estimate,Based on common vendor support for volume retailers,Margins & COGS,slider,0.0,0.03,0.0025,3,1,1
Opex,store_payroll_pct_sales,Store payroll as % of sales,Wages for store staff excl. benefits as % of sales,Operating years,0.12,0.1,0.14,fraction,Major driver of operating margin,Industry standard,Supermarket labor often 10–14% of sales,Opex & Staffing,slider,0.08,0.18,0.005,1,0,1
Opex,payroll_burden_pct_wages,Payroll burden (taxes & benefits),Employer taxes & benefits as % of wages,Operating years,0.12,0.1,0.15,fraction,Adds on-cost to payroll lines,Estimate,Includes payroll tax ~8% + benefits 3–7%,Opex & Staffing,slider,0.08,0.2,0.005,2,1,1
Opex,marketing_pct_sales,Ongoing marketing as % of sales,Routine marketing and promotions,Operating years,0.015,0.01,0.02,fraction,Supports traffic growth and brand,Industry standard,Typical local retail marketing budgets,Opex & Staffing,slider,0.005,0.04,0.0025,3,0,1
Opex,repairs_maintenance_pct_sales,Repairs & maintenance as % of sales,Regular and unexpected maintenance,Operating years,0.0075,0.005,0.01,fraction,Linked to equipment age and intensity,Estimate,Aligned with 0.5–1.0% of sales range,Opex & Staffing,slider,0.0,0.02,0.001,4,1,1
Opex,admin_supplies_pct_sales,Admin & supplies as % of sales,"Office supplies, bank fees, misc. overhead",Operating years,0.0045,0.003,0.006,fraction,Scales with store activity,Estimate,Small but non-trivial cost bucket,Opex & Staffing,slider,,,,5,1,0
Opex,prof_services_monthly,Professional services monthly,"Accounting, tax, legal, CFO retainers",Operating years,3000,2000.0,4000.0,USD/month,"Supports governance, compliance and advisory",Estimate,Typical spend for outsourced accounting/CFO,Opex & Staffing,number_input,,,,6,1,0
Opex,tech_software_monthly,Technology & software monthly,"POS, back-office software, cloud tools, security",Operating years,1500,1000.0,2000.0,USD/month,Recurring SaaS and support costs,Estimate,Based on expected vendor stack,Opex & Staffing,number_input,,,,7,1,0
WorkingCapital,inventory_days_on_hand,Inventory days on hand (DIO),Average days of COGS held in inventory,Operating years,20,15.0,25.0,days,Determines average inventory investment,Industry standard,Typical range for perishable supermarkets,Working Capital,slider,5,40,1,1,0,1
WorkingCapital,ap_days_payable,Accounts payable days,Average days to pay suppliers (DPO),Operating years,25,20.0,35.0,days,Impacts working capital and cash conversion,Estimate,Based on expected vendor terms,Working Capital,slider,10,60,1,2,0,1
WorkingCapital,ar_days_receivable,Accounts receivable days,Average days to collect receivables,Operating years,2,0.0,5.0,days,Mostly card settlement and any house accounts,Industry standard,Supermarkets generally operate near-cash,Working Capital,number_input,,,,3,1,0
WorkingCapital,initial_inventory_value,Initial inventory stocking value,One-time inventory purchase before opening,Pre-opening,linked,,,USD,Equals DIO × daily COGS at target run-rate,Model output,"Calculated from sales, margin and DIO",Working Capital,number_input,,,,4,1,0
Taxes,eff_tax_rate,Effective income tax rate,Combined federal/state effective rate on taxable income,All profitable years,0.25,0.22,0.28,fraction,Drives tax expense and net income,Estimate,To be refined with CPA based on structure,Macro & Risk,slider,,,,9,1,0
Taxes,owner_draw_policy_pct_fcf,Owner distribution policy,Max % of free cash flow available for distributions,All years,0.6,0.5,0.7,fraction,Ensures debt service and reserves are prioritized,Policy assumption,Prudent payout ratio to preserve liquidity,Macro & Risk,slider,,,,10,1,0
Taxes,cash_runway_target_months,Target cash runway,Minimum months of opex to hold in cash reserves,All years,6,4.0,9.0,months,Informs minimum cash and funding needs,Policy assumption,Aligns with comfort and risk tolerance,Macro & Risk,slider,1,12,1,5,0,1
Taxes,capital_reserve_pct_sales,Capital reserve,Annual capital reserve for future capex as % of sales,All years,0.0075,0.005,0.01,fraction,Funds replacements and upgrades over time,Best practice,Using 0.5–1.0% of sales for capital reserve,Macro & Risk,slider,,,,11,1,0
Scenarios,dscr_min_target,Minimum DSCR target,Target DSCR for loan compliance and safety,Stabilized years,1.25,1.2,1.35,ratio,Impacts allowed debt load and distributions,Lending standard,Common DSCR covenant for small business loans,Financing,slider,1.1,1.5,0.05,5,1,1
Scenarios,build_ramp_year1_pct_target,Build scenario Year 1 ramp,Year 1 sales as % of long-term target in Build scenario,Year 1,0.6,0.5,0.7,fraction,Reflects slow build of new brand,Estimate,Calibrated to reach $10M by Year 3,Financing,slider,,,,32,1,0
Scenarios,build_ramp_year2_pct_target,Build scenario Year 2 ramp,Year 2 sales as % of long-term target,Year 2,0.85,0.8,0.9,fraction,Continued ramp-up as awareness grows,Estimate,Supports smooth approach to target revenue,Financing,slider,,,,33,1,0
Scenarios,build_ramp_year3_pct_target,Build scenario Year 3 ramp,Year 3 sales as % of long-term target,Year 3,1.0,0.95,1.05,fraction,Assumes stabilization around Year 3,Estimate,Reaches $10M+ long-term goal,Financing,slider,,,,34,1,0
Scenarios,buy_starting_sales,Buy scenario starting annual sales,Initial annual revenue of acquired business,Buy scenario Year 1,9000000,8000000.0,10000000.0,USD/year,Baseline from target’s historicals,Estimate,To be replaced with actual P&L from seller,Financing,number_input,,,,35,1,0
Scenarios,buy_starting_gm,Buy scenario starting gross margin,Initial gross margin of acquired business,Buy scenario Year 1,0.30,0.28,0.32,fraction,Reflects current pricing and mix,Estimate,Replace with historical margin once available,Financing,slider,,,,36,1,0
Scenarios,buy_synergy_margin_uplift,Buy synergy margin uplift,Planned gross margin improvement over 2–3 years,Buy scenario,0.02,0.01,0.03,fraction,"From better sourcing, pricing, shrink control",Estimate,Your value-add from operational improvements,Financing,slider,,,,37,1,0
