category,item_key,item_name,description,timeline,base_value,low_case,high_case,unit,drivers,source_type,source_detail,ui_group,ui_control,ui_min,ui_max,ui_step,ui_order,ui_is_advanced,ui_is_editable
Market,market_households,Local households / families,Families in practical catchment area,All years,550,500,800,count,Base for penetration and customer count,Estimate,Client indication of 500+ families; refine with research,Revenue & Demand,number_input,200,2000,50,1,1,1
Market,household_penetration_y1,Penetration Year 1,% of local households shopping primarily here in Year 1,Year 1,0.35,0.3,0.4,fraction,Depends on competition and opening strategy,Estimate,Aggressive but realistic for strong local concept,Revenue & Demand,slider,0.1,0.7,0.01,2,0,1
Market,household_penetration_y2,Penetration Year 2,% of households in Year 2,Year 2,0.45,0.4,0.5,fraction,Continued adoption and marketing,Estimate,Builds on Year 1 brand trust,Revenue & Demand,slider,0.1,0.8,0.01,3,1,1
Market,household_penetration_y3,Penetration Year 3,% of households in Year 3 and beyond,Year 3+,0.55,0.5,0.6,fraction,Represents mature share of local market,Estimate,Target share once store is established,Revenue & Demand,slider,0.1,0.9,0.01,4,1,1
Market,visits_per_household_week,Shopping frequency per household,Average visits per household per week,Operating years,1.2,1,1.5,visits/week,Drives transaction count,Industry standard,Typical grocery visit frequency,Revenue & Demand,slider,0.5,3,0.1,5,0,1
Market,avg_basket_size_y1,Average basket size Year 1,Average spend per visit in Year 1,Year 1,90,80,100,USD/visit,"Linked to income, positioning, specialty mix",Estimate,Matches goal of reaching $10M long-term,Revenue & Demand,number_input,40,200,5,6,0,1
Revenue,gross_margin_target,Gross margin target,Gross profit as % of net sales,Operating years,0.33,0.3,0.35,fraction,"Merchandising, pricing, vendor terms",Client target,Client assumption of ~33% GM,Margins & COGS,slider,0.25,0.4,0.005,1,0,1
Revenue,shrink_pct_sales,Shrink and spoilage,Shrinkage as % of sales,Operating years,0.025,0.02,0.03,fraction,Impacts effective COGS and profitability,Industry standard,Typical grocery shrink 2–3% of sales,Margins & COGS,slider,0,0.05,0.0025,2,0,1
Revenue,vendor_rebates_pct_sales,Vendor rebates / allowances,Rebates and trade spend as % of sales,Operating years,0.01,0.005,0.015,fraction,Reduces effective COGS,Estimate,Based on common vendor support for volume retailers,Margins & COGS,slider,0,0.03,0.0025,3,1,1
Opex,store_payroll_pct_sales,Store payroll as % of sales,Wages for store staff excl. benefits as % of sales,Operating years,0.12,0.1,0.14,fraction,Major driver of operating margin,Industry standard,Supermarket labor often 10–14% of sales,Opex & Staffing,slider,0.08,0.18,0.005,1,0,1
Opex,payroll_burden_pct_wages,Payroll burden (taxes & benefits),Employer taxes & benefits as % of wages,Operating years,0.12,0.1,0.15,fraction,Adds on-cost to payroll lines,Estimate,Includes payroll tax + benefits,Opex & Staffing,slider,0.08,0.2,0.005,2,1,1
Opex,marketing_pct_sales,Ongoing marketing as % of sales,Routine marketing and promotions,Operating years,0.015,0.01,0.02,fraction,Supports traffic growth and brand,Industry standard,Typical local retail marketing budgets,Opex & Staffing,slider,0.005,0.04,0.0025,3,0,1
Opex,repairs_maintenance_pct_sales,Repairs & maintenance as % of sales,Regular and unexpected maintenance,Operating years,0.0075,0.005,0.01,fraction,Linked to equipment age and intensity,Estimate,Aligned with 0.5–1.0% of sales range,Opex & Staffing,slider,0,0.02,0.001,4,1,1
WorkingCapital,inventory_days_on_hand,Inventory days on hand (DIO),Average days of COGS held in inventory,Operating years,20,15,25,days,Determines average inventory investment,Industry standard,Typical range for perishable supermarkets,Working Capital,slider,5,40,1,1,0,1
WorkingCapital,ap_days_payable,Accounts payable days,Average days to pay suppliers,Operating years,25,20,35,days,Impacts working capital and cash conversion,Estimate,Based on expected vendor terms,Working Capital,slider,10,60,1,2,0,1
Financing,construction_loan_commitment,Construction loan commitment,Maximum principal available for construction financing,Construction,1850000,1700000,2000000,USD,Covers hard costs plus some soft costs,Estimate,Target 70–80% loan-to-cost,Financing,number_input,1000000,3000000,50000,1,0,1
Financing,construction_rate_annual,Construction loan interest rate,Annual interest rate during construction / I/O period,Construction + ramp,0.08,0.07,0.1,fraction,"Applied to drawn balance, interest-only",Lending standard,In line with current SMB construction rates,Financing,slider,0.05,0.12,0.0025,2,0,1
Financing,permanent_loan_rate,Permanent loan interest rate,Rate on post-construction term loan,Post-stabilization,0.075,0.07,0.09,fraction,"Depends on market, DSCR, collateral",Estimate,Conservative fixed rate for small CRE,Financing,slider,0.05,0.1,0.0025,3,0,1
Financing,bridge_loan_rate,Bridge loan interest rate,Rate on shareholder/bridge debt,All years until repaid,0.11,0.1,0.12,fraction,Compensates risk of subordinated funding,Estimate,Typical 10–12% for shareholder loans,Financing,slider,0.06,0.18,0.005,4,1,1
Scenarios,dscr_min_target,Minimum DSCR target,Target DSCR for loan compliance and safety,Stabilized years,1.25,1.2,1.35,ratio,Impacts allowed debt load and distributions,Lending standard,Common DSCR covenant for SMB loans,Financing,slider,1.1,1.5,0.05,5,1,1
Macro,inflation_general,General inflation rate,Annual inflation for non-food costs,All years,0.025,0.02,0.03,fraction,Applied to many cost and some revenue lines,Macro estimate,Medium-term inflation expectations,Macro & Risk,slider,0,0.06,0.0025,1,0,1
Macro,inflation_wages,Wage inflation rate,Annual wage growth,All years,0.035,0.03,0.04,fraction,Reflects tight labor market and minimum wage trends,Estimate,Retail wage trend assumption,Macro & Risk,slider,0,0.07,0.0025,2,1,1
